UserID,Timestamp,Accuracy
6420063,2024-10-05 05:26:58.295759+00:00,49.56%
6420063,2024-10-05 05:26:58.798258+00:00,46.06%
6420063,2024-10-05 05:26:59.028911+00:00,47.39%
6420063,2024-10-05 05:26:59.222322+00:00,48.40%
6420063,2024-10-05 05:26:59.440112+00:00,47.98%
6420063,2024-10-05 05:26:59.631832+00:00,47.64%
6420063,2024-10-05 05:26:59.819414+00:00,47.86%
6420063,2024-10-05 05:27:00.007337+00:00,50.34%
6420063,2024-10-05 05:27:00.195896+00:00,50.97%
6420063,2024-10-05 05:27:00.386386+00:00,48.95%
6420063,2024-10-05 05:27:00.585103+00:00,53.12%
6420063,2024-10-05 05:27:00.773423+00:00,60.26%
6420063,2024-10-05 05:27:00.984989+00:00,56.31%
6420063,2024-10-05 05:27:01.221133+00:00,48.75%
6420063,2024-10-05 05:27:01.417095+00:00,47.95%
6420063,2024-10-05 05:27:01.610248+00:00,47.32%
6420063,2024-10-05 05:27:01.799542+00:00,47.18%
6420063,2024-10-05 05:27:01.986329+00:00,56.02%
6420063,2024-10-05 05:27:02.175291+00:00,59.22%
6420063,2024-10-05 05:27:02.361793+00:00,61.15%
6420063,2024-10-05 05:27:02.547667+00:00,58.65%
6420063,2024-10-05 05:27:02.733684+00:00,61.32%
6420063,2024-10-05 05:27:02.922297+00:00,60.46%
6420063,2024-10-05 05:27:03.108161+00:00,50.42%
6420063,2024-10-05 05:27:03.291708+00:00,56.70%
6420063,2024-10-05 05:27:03.477824+00:00,62.27%
6420063,2024-10-05 05:27:03.664598+00:00,53.74%
6420063,2024-10-05 05:27:03.851115+00:00,58.70%
6420063,2024-10-05 05:27:04.037284+00:00,53.85%
6420063,2024-10-05 05:27:04.222094+00:00,54.30%
6420063,2024-10-05 05:27:04.409316+00:00,60.51%
6420063,2024-10-05 05:27:04.594533+00:00,62.28%
6420063,2024-10-05 05:27:04.778142+00:00,59.80%
6420063,2024-10-05 05:27:04.964995+00:00,61.88%
6420063,2024-10-05 05:27:05.154588+00:00,69.38%
6420063,2024-10-05 05:27:05.339949+00:00,71.81%
6420063,2024-10-05 05:27:05.525847+00:00,71.08%
6420063,2024-10-05 05:27:05.780376+00:00,72.47%
6420063,2024-10-05 05:27:05.967651+00:00,67.05%
6420063,2024-10-05 05:27:06.154852+00:00,65.43%
6420063,2024-10-05 05:27:06.347174+00:00,56.01%
6420063,2024-10-05 05:27:06.538007+00:00,56.72%
6420063,2024-10-05 05:27:06.724978+00:00,56.06%
6420063,2024-10-05 05:27:06.915395+00:00,59.27%
6420063,2024-10-05 05:27:07.103710+00:00,59.77%
6420063,2024-10-05 05:27:07.292778+00:00,58.60%
6420063,2024-10-05 05:27:07.479490+00:00,54.87%
