UserID,Timestamp,Accuracy
6420063,2024-10-05 05:09:51.112399+00:00,66.38%
6420063,2024-10-05 05:09:51.863940+00:00,61.86%
6420063,2024-10-05 05:09:52.158203+00:00,66.61%
6420063,2024-10-05 05:09:52.382635+00:00,62.67%
6420063,2024-10-05 05:09:52.575238+00:00,62.36%
6420063,2024-10-05 05:09:52.797081+00:00,63.14%
6420063,2024-10-05 05:09:52.994020+00:00,62.61%
6420063,2024-10-05 05:09:53.183418+00:00,61.52%
6420063,2024-10-05 05:09:53.370363+00:00,57.32%
6420063,2024-10-05 05:09:53.557092+00:00,58.51%
6420063,2024-10-05 05:09:53.742070+00:00,61.60%
6420063,2024-10-05 05:09:53.926842+00:00,61.91%
6420063,2024-10-05 05:09:54.111005+00:00,60.77%
6420063,2024-10-05 05:09:54.297196+00:00,58.63%
6420063,2024-10-05 05:09:54.482240+00:00,60.13%
6420063,2024-10-05 05:09:54.667582+00:00,62.50%
6420063,2024-10-05 05:09:54.852922+00:00,62.79%
6420063,2024-10-05 05:09:55.038430+00:00,60.17%
6420063,2024-10-05 05:09:55.224289+00:00,58.34%
6420063,2024-10-05 05:09:55.410469+00:00,58.98%
6420063,2024-10-05 05:09:55.594461+00:00,60.72%
6420063,2024-10-05 05:09:55.778531+00:00,61.42%
6420063,2024-10-05 05:09:55.962814+00:00,63.83%
6420063,2024-10-05 05:09:56.153809+00:00,60.91%
6420063,2024-10-05 05:09:56.339416+00:00,60.09%
6420063,2024-10-05 05:09:56.525516+00:00,64.43%
6420063,2024-10-05 05:09:56.710185+00:00,59.54%
6420063,2024-10-05 05:09:56.895059+00:00,64.83%
6420063,2024-10-05 05:09:57.079218+00:00,64.86%
6420063,2024-10-05 05:09:57.265550+00:00,66.59%
6420063,2024-10-05 05:09:57.451311+00:00,64.81%
6420063,2024-10-05 05:09:57.637825+00:00,56.46%
6420063,2024-10-05 05:09:57.824201+00:00,63.62%
6420063,2024-10-05 05:09:58.009615+00:00,63.41%
6420063,2024-10-05 05:09:58.195583+00:00,58.67%
6420063,2024-10-05 05:09:58.380124+00:00,57.37%
6420063,2024-10-05 05:09:58.564629+00:00,59.65%
6420063,2024-10-05 05:09:58.748086+00:00,61.81%
6420063,2024-10-05 05:09:58.932233+00:00,59.47%
6420063,2024-10-05 05:09:59.116905+00:00,58.94%
6420063,2024-10-05 05:09:59.302567+00:00,60.07%
6420063,2024-10-05 05:09:59.488680+00:00,59.60%
6420063,2024-10-05 05:09:59.675703+00:00,58.71%
6420063,2024-10-05 05:09:59.861690+00:00,57.12%
