UserID,Timestamp,Accuracy
6420063,2024-10-05 06:12:14.112776+00:00,65.94%
6420063,2024-10-05 06:12:14.301285+00:00,64.97%
6420063,2024-10-05 06:12:14.486535+00:00,69.56%
6420063,2024-10-05 06:12:14.675558+00:00,67.57%
6420063,2024-10-05 06:12:14.862803+00:00,69.86%
6420063,2024-10-05 06:12:15.047577+00:00,71.54%
6420063,2024-10-05 06:12:15.237823+00:00,70.88%
6420063,2024-10-05 06:12:15.422652+00:00,71.92%
6420063,2024-10-05 06:12:15.611318+00:00,71.06%
6420063,2024-10-05 06:12:15.797730+00:00,72.80%
6420063,2024-10-05 06:12:15.981280+00:00,72.20%
6420063,2024-10-05 06:12:16.167070+00:00,71.67%
6420063,2024-10-05 06:12:16.351237+00:00,72.38%
6420063,2024-10-05 06:12:16.536469+00:00,67.12%
6420063,2024-10-05 06:12:16.725080+00:00,68.35%
6420063,2024-10-05 06:12:16.912143+00:00,66.33%
6420063,2024-10-05 06:12:17.098166+00:00,68.12%
6420063,2024-10-05 06:12:17.284789+00:00,69.80%
6420063,2024-10-05 06:12:17.469365+00:00,66.70%
6420063,2024-10-05 06:12:17.656520+00:00,70.19%
6420063,2024-10-05 06:12:17.841397+00:00,70.50%
6420063,2024-10-05 06:12:18.026749+00:00,63.32%
6420063,2024-10-05 06:12:18.210924+00:00,67.69%
6420063,2024-10-05 06:12:18.401291+00:00,67.64%
6420063,2024-10-05 06:12:18.589852+00:00,65.58%
6420063,2024-10-05 06:12:18.776897+00:00,64.03%
6420063,2024-10-05 06:12:18.961609+00:00,66.34%
6420063,2024-10-05 06:12:19.146996+00:00,65.75%
6420063,2024-10-05 06:12:19.332724+00:00,65.15%
6420063,2024-10-05 06:12:19.517401+00:00,67.95%
6420063,2024-10-05 06:12:19.705182+00:00,67.74%
6420063,2024-10-05 06:12:19.890505+00:00,68.74%
6420063,2024-10-05 06:12:20.076373+00:00,63.83%
6420063,2024-10-05 06:12:20.265567+00:00,65.21%
6420063,2024-10-05 06:12:20.450745+00:00,66.81%
6420063,2024-10-05 06:12:20.637256+00:00,64.56%
6420063,2024-10-05 06:12:20.821770+00:00,67.61%
6420063,2024-10-05 06:12:21.006217+00:00,68.79%
6420063,2024-10-05 06:12:21.197454+00:00,69.68%
6420063,2024-10-05 06:12:21.383630+00:00,70.01%
6420063,2024-10-05 06:12:21.572726+00:00,66.92%
6420063,2024-10-05 06:12:21.760358+00:00,69.03%
6420063,2024-10-05 06:12:21.948242+00:00,72.09%
6420063,2024-10-05 06:12:22.136319+00:00,64.76%
6420063,2024-10-05 06:12:22.322580+00:00,55.78%
6420063,2024-10-05 06:12:22.507618+00:00,62.85%
6420063,2024-10-05 06:12:22.692062+00:00,64.18%
6420063,2024-10-05 06:12:22.877528+00:00,66.83%
6420063,2024-10-05 06:12:23.063566+00:00,66.02%
6420063,2024-10-05 06:12:23.252105+00:00,65.16%
6420063,2024-10-05 06:12:23.437459+00:00,63.97%
6420063,2024-10-05 06:12:23.625138+00:00,63.16%
6420063,2024-10-05 06:12:23.810578+00:00,63.92%
