UserID,Timestamp,Accuracy
6420063,2024-10-05 06:08:11.411386+00:00,60.24%
6420063,2024-10-05 06:08:11.602174+00:00,62.29%
6420063,2024-10-05 06:08:11.787844+00:00,68.35%
6420063,2024-10-05 06:08:11.973860+00:00,69.23%
6420063,2024-10-05 06:08:12.162040+00:00,67.69%
6420063,2024-10-05 06:08:12.348603+00:00,68.18%
6420063,2024-10-05 06:08:12.538208+00:00,68.06%
6420063,2024-10-05 06:08:12.728552+00:00,72.52%
6420063,2024-10-05 06:08:12.913872+00:00,69.96%
6420063,2024-10-05 06:08:13.099393+00:00,68.79%
6420063,2024-10-05 06:08:13.288948+00:00,70.79%
6420063,2024-10-05 06:08:13.478447+00:00,67.29%
6420063,2024-10-05 06:08:13.665727+00:00,67.44%
6420063,2024-10-05 06:08:13.850440+00:00,62.88%
6420063,2024-10-05 06:08:14.040628+00:00,65.74%
6420063,2024-10-05 06:08:14.227562+00:00,64.63%
6420063,2024-10-05 06:08:14.413468+00:00,66.45%
6420063,2024-10-05 06:08:14.598992+00:00,62.28%
6420063,2024-10-05 06:08:14.786225+00:00,62.27%
6420063,2024-10-05 06:08:14.972310+00:00,68.14%
6420063,2024-10-05 06:08:15.160342+00:00,68.62%
6420063,2024-10-05 06:08:15.346759+00:00,61.51%
6420063,2024-10-05 06:08:15.533219+00:00,66.63%
6420063,2024-10-05 06:08:15.717999+00:00,64.80%
6420063,2024-10-05 06:08:15.904934+00:00,65.42%
6420063,2024-10-05 06:08:16.090486+00:00,62.78%
6420063,2024-10-05 06:08:16.276841+00:00,66.01%
6420063,2024-10-05 06:08:16.463033+00:00,65.42%
6420063,2024-10-05 06:08:16.649544+00:00,64.11%
6420063,2024-10-05 06:08:16.835576+00:00,67.13%
6420063,2024-10-05 06:08:17.019939+00:00,65.53%
6420063,2024-10-05 06:08:17.214002+00:00,63.84%
6420063,2024-10-05 06:08:17.404214+00:00,61.85%
6420063,2024-10-05 06:08:17.592850+00:00,64.48%
6420063,2024-10-05 06:08:17.778740+00:00,65.19%
6420063,2024-10-05 06:08:17.965331+00:00,64.85%
6420063,2024-10-05 06:08:18.151600+00:00,66.52%
6420063,2024-10-05 06:08:18.338110+00:00,68.29%
6420063,2024-10-05 06:08:18.523901+00:00,69.24%
6420063,2024-10-05 06:08:18.708135+00:00,68.98%
6420063,2024-10-05 06:08:18.894268+00:00,62.82%
6420063,2024-10-05 06:08:19.080952+00:00,66.33%
6420063,2024-10-05 06:08:19.266904+00:00,70.07%
6420063,2024-10-05 06:08:19.454460+00:00,61.73%
6420063,2024-10-05 06:08:19.639195+00:00,53.56%
6420063,2024-10-05 06:08:19.825694+00:00,61.08%
6420063,2024-10-05 06:08:20.013496+00:00,62.25%
